FamilyName,GivenNames,StudentId,Email,ProgramCode
Anderson,Chris,016680323,canderson@flashset.com,BSD
Armstrong,Wanda,065811551,warmstrong@twitterbeat.com,BSD
Arnold,Ann,040971171,aarnold@eabox.info,BSD
Austin,Matthew,034157007,maustin@jabbersphere.name,BSD
Bailey,Randy,052825804,rbailey@kamba.edu,BSD
Banks,Victor,067284293,vbanks@dabshots.mil,BSD
Barnes,Christine,082566086,cbarnes@oodoo.mil,BSD
Bell,Russell,013025092,rbell@trilia.gov,BSD
Bell,Todd,064605095,tbell@fiveclub.mil,BSD
Berry,Carol,070385186,cberry@oyoloo.edu,IFS
Bishop,Nicole,056615450,nbishop@innotype.gov,BSD
Black,Michelle,058089014,mblack@feedmix.name,BSD
Black,Sara,072499589,sblack@miboo.edu,BSD
Bradley,Timothy,075546288,tbradley@gabspot.info,CTY
Burke,Juan,040545690,jburke@avaveo.name,CPA
Campbell,Doris,040862751,dcampbell@livez.gov,BSD
Carpenter,Ashley,074496430,acarpenter@oyoba.info,CTY
Carpenter,Roger,019568840,rcarpenter@viva.info,CPA
Carr,Patricia,014163972,pcarr@eabox.net,IFS
Carroll,Louis,055348549,lcarroll@leexo.edu,CPA
Carter,Stephen,012437769,scarter@skippad.gov,IFS
Clark,Kenneth,025171010,kclark@yodo.biz,IFS
Coleman,Kelly,057435959,kcoleman@blognation.edu,IFS
Cox,Ann,080020426,acox@gabvine.org,CTY
Cruz,Stephen,066090346,scruz@mynte.gov,BSD
Dean,Ronald,069796312,rdean@youbridge.edu,BSD
Diaz,Sharon,079994054,sdiaz@cogibox.mil,BSD
Dixon,Jane,065400057,jdixon@tagfeed.net,BSD
Edwards,Harry,071068168,hedwards@jazzy.edu,BSD
Edwards,Ronald,033750379,redwards@livez.edu,CPA
Elliott,Debra,020217536,delliott@lazz.biz,BSD
Ellis,Anne,031930646,aellis@latz.name,CTY
Fisher,Walter,069916779,wfisher@edgewire.com,IFS
Fox,Jean,093849532,jfox@skyble.biz,BSD
Frazier,David,085381285,dfrazier@rhynyx.net,BSD
Garcia,Larry,091355635,lgarcia@linklinks.com,CTY
Gardner,Stephanie,054042190,sgardner@livetube.edu,BSD
Gonzales,Chris,040544085,cgonzales@rooxo.biz,CTY
Gonzales,Michelle,018265317,mgonzales@twinder.info,BSD
Gonzalez,Donna,041436767,dgonzalez@zava.mil,IFS
Graham,Betty,079359209,bgraham@riffpath.org,CTY
Grant,Ralph,068539449,rgrant@kimia.biz,IFS
Griffin,Jonathan,034564497,jgriffin@twimm.gov,BSD
Hanson,William,055120741,whanson@photobug.mil,CPA
Harris,Jennifer,023679268,jharris@vinte.com,BSD
Harris,Susan,017802505,sharris@leexo.edu,CTY
Harvey,Harry,040771859,hharvey@twitterbeat.gov,BSD
Harvey,Rebecca,050133568,rharvey@jetpulse.biz,BSD
Holmes,Laura,051346142,lholmes@geba.gov,BSD
Knight,Sandra,010967886,sknight@skyvu.org,CPA
Lawrence,Diana,012169529,dlawrence@realbridge.net,BSD
Lawson,Cynthia,017061465,clawson@demimbu.gov,BSD
Little,Keith,088494437,klittle@roomm.mil,CTY
Long,Sandra,090106054,slong@oloo.com,BSD
Lynch,Laura,029513951,llynch@blognation.info,BSD
Martin,Rose,019370052,rmartin@babbleset.gov,CTY
Martinez,Jeffrey,034207618,jmartinez@jumpxs.com,BSD
Mason,Phyllis,037243314,pmason@bluezoom.com,IFS
Matthews,Kathleen,020925437,kmatthews@mudo.org,BSD
Mendoza,Albert,070844124,amendoza@meevee.mil,IFS
Meyer,Catherine,068802411,cmeyer@realbridge.biz,BSD
Miller,Sandra,063326027,smiller@rhyloo.name,CPA
Mills,Carolyn,065225145,cmills@jabberstorm.edu,CPA
Montgomery,Jeffrey,084821056,jmontgomery@kwilith.info,CTY
Moreno,Ruby,024148808,rmoreno@kimia.net,BSD
Morris,Terry,035859148,tmorris@cogibox.net,BSD
Myers,Stephanie,056411583,smyers@brainsphere.net,BSD
Nguyen,Edward,068934580,enguyen@flashspan.mil,BSD
Oliver,Barbara,035173586,boliver@feedspan.biz,BSD
Oliver,Harold,094571084,holiver@thoughtblab.com,CTY
Ortiz,Roy,030073150,rortiz@eadel.mil,BSD
Palmer,Lori,093456261,lpalmer@blogpad.name,CPA
Payne,Mildred,043721023,mpayne@cogidoo.info,BSD
Porter,Amanda,072592181,aporter@tagchat.edu,BSD
Rice,Deborah,014961461,drice@thoughtbridge.name,CPA
Robertson,Anna,035170769,arobertson@realbuzz.gov,BSD
Ross,Lois,039144090,lross@tanoodle.org,CPA
Ross,Stephen,094977168,sross@kimia.net,BSD
Ruiz,Theresa,010379805,truiz@ntags.org,BSD
Ryan,Dennis,024113083,dryan@flashpoint.mil,CTY
Sanchez,Janet,071851903,jsanchez@meeveo.mil,CTY
Sanchez,Steven,061543783,ssanchez@photospace.net,BSD
Sanders,Karen,019271856,ksanders@zoonder.org,BSD
Spencer,Antonio,067980467,aspencer@oozz.org,IFS
Stanley,Jesse,025137502,jstanley@topicware.org,IFS
Stephens,Bruce,040639271,bstephens@plajo.biz,IFS
Stevens,Evelyn,092514964,estevens@fatz.name,BSD
Torres,Diana,021313995,dtorres@devbug.mil,BSD
Tucker,Henry,038711016,htucker@ainyx.biz,IFS
Walker,Lillian,071101282,lwalker@meevee.name,CPA
Wallace,Joshua,029618342,jwallace@eimbee.biz,BSD
Warren,Billy,051311574,bwarren@blogxs.org,BSD
Warren,Lillian,082889886,lwarren@flashdog.name,CPA
Watson,Evelyn,025130710,ewatson@tagcat.mil,BSD
Watson,Ruby,022050570,rwatson@kare.net,CPA
Wells,Diane,055194665,dwells@realmix.info,BSD
Wheeler,Benjamin,049106283,bwheeler@zazio.com,IFS
Williams,Todd,055117267,twilliams@dabtype.mil,BSD
Wilson,Charles,030216499,cwilson@livez.name,BSD
Young,Ruth,041057450,ryoung@zoomcast.mil,CTY
